id;grado;colegio;fecha_nacimiento;ciudad
1;withdrawal primary Fiji;Castilla;2022-06-03;Parafarmacia Rua
2;Cambridgeshire;Práctico Madera;2022-06-02;Navarra Berkshire Inversor
3;sexy Integración;Buckinghamshire Cambridgeshire metrics;2022-06-02;Hecho
4;terciaria Urbanización Granito;Gris COM;2022-06-03;Cambridgeshire Account
5;Opcional leading-edge;Sabroso;2022-06-02;Pelota hibrida Extendido
6;end-to-end back-end Práctico;Representante Navarra Mascotas;2022-06-02;algoritmo Account
7;Andalucía Arquitecto Raton;Prolongación;2022-06-02;Glorieta
8;connecting;engineer;2022-06-03;killer intangible matrix
9;Violeta Librería hardware;sistémica Regional Bermudian;2022-06-02;implementación Arquitecto
10;Auto Administrador Pública;Comoro;2022-06-02;transicional Inversor Uzbekistan
